epochs,vector_size,window,min_count,sg,model_type,score,accuracy,hits,wrong,not_found,avg_distance
10,50,5,1,0,CBOW,0.23153439153439154,0.011904761904761904,225,18675,644,11.073382075848404
10,50,5,1,1,Skip-gram,0.2329100529100529,0.016984126984126983,321,18579,644,3.3128522989516536
10,50,5,1000,0,CBOW,0.6409185803757829,0.081419624217119,39,440,19065,10.784975733786883
10,50,5,1000,1,Skip-gram,0.6346555323590815,0.09603340292275574,46,433,19065,2.055995277671575
10,50,5,3000,0,CBOW,0.8333333333333334,0.08333333333333333,1,11,19532,10.045785586039225
10,50,5,3000,1,Skip-gram,0.8333333333333334,0.0,0,12,19532,2.3838413059711456
10,50,5,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
10,50,5,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
10,50,10,1,0,CBOW,0.23925925925925925,0.010476190476190476,198,18702,644,14.002231760572188
10,50,10,1,1,Skip-gram,0.24164021164021163,0.019682539682539683,372,18528,644,3.28099197531188
10,50,10,1000,0,CBOW,0.6764091858037579,0.0918580375782881,44,435,19065,12.404713594838821
10,50,10,1000,1,Skip-gram,0.6534446764091858,0.10020876826722339,48,431,19065,1.9980262707071166
10,50,10,3000,0,CBOW,0.8333333333333334,0.25,3,9,19532,9.594417095184326
10,50,10,3000,1,Skip-gram,0.8333333333333334,0.08333333333333333,1,11,19532,2.127729852994283
10,50,10,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
10,50,10,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
10,100,5,1,0,CBOW,0.2958730158730159,0.0082010582010582,155,18745,644,13.075298824635132
10,100,5,1,1,Skip-gram,0.2842328042328042,0.009788359788359789,185,18715,644,4.106851791931839
10,100,5,1000,0,CBOW,0.7118997912317327,0.081419624217119,39,440,19065,11.912560044848098
10,100,5,1000,1,Skip-gram,0.7077244258872651,0.06889352818371608,33,446,19065,2.606057728257707
10,100,5,3000,0,CBOW,0.8333333333333334,0.08333333333333333,1,11,19532,11.241557836532593
10,100,5,3000,1,Skip-gram,0.8333333333333334,0.08333333333333333,1,11,19532,2.4708461463451385
10,100,5,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
10,100,5,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
10,100,10,1,0,CBOW,0.30052910052910053,0.00708994708994709,134,18766,644,16.45834596506187
10,100,10,1,1,Skip-gram,0.3002116402116402,0.01074074074074074,203,18697,644,4.055035905346037
10,100,10,1000,0,CBOW,0.7265135699373695,0.08559498956158663,41,438,19065,13.735526908165726
10,100,10,1000,1,Skip-gram,0.7014613778705637,0.07306889352818371,35,444,19065,2.464579233296978
10,100,10,3000,0,CBOW,0.8333333333333334,0.0,0,12,19532,13.02557865778605
10,100,10,3000,1,Skip-gram,0.8333333333333334,0.0,0,12,19532,2.620329807202021
10,100,10,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
10,100,10,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
25,50,5,1,0,CBOW,0.24761904761904763,0.01380952380952381,261,18639,644,13.18810590485101
25,50,5,1,1,Skip-gram,0.24015873015873015,0.018306878306878306,346,18554,644,3.5492552956733756
25,50,5,1000,0,CBOW,0.6346555323590815,0.07933194154488518,38,441,19065,12.399644362901595
25,50,5,1000,1,Skip-gram,0.6534446764091858,0.08768267223382047,42,437,19065,2.072605687043861
25,50,5,3000,0,CBOW,0.9166666666666666,0.3333333333333333,4,8,19532,9.842960993448893
25,50,5,3000,1,Skip-gram,0.8333333333333334,0.25,3,9,19532,1.861341009537379
25,50,5,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
25,50,5,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
25,50,10,1,0,CBOW,0.2447089947089947,0.012804232804232804,242,18658,644,16.47002052134307
25,50,10,1,1,Skip-gram,0.23957671957671958,0.018465608465608466,349,18551,644,3.439010700725374
25,50,10,1000,0,CBOW,0.6847599164926931,0.10438413361169102,50,429,19065,14.001798733291148
25,50,10,1000,1,Skip-gram,0.651356993736952,0.12943632567849686,62,417,19065,1.9353582969786975
25,50,10,3000,0,CBOW,0.9166666666666666,0.25,3,9,19532,10.517749389012655
25,50,10,3000,1,Skip-gram,0.8333333333333334,0.16666666666666666,2,10,19532,1.7922253211339314
25,50,10,5000,0,CBOW,0.0,0.0,0,0,19544,0.0
25,50,10,5000,1,Skip-gram,0.0,0.0,0,0,19544,0.0
25,100,5,1,0,CBOW,0.31148148148148147,0.007619047619047619,144,18756,644,15.870744851720396
25,100,5,1,1,Skip-gram,0.2848677248677249,0.009312169312169312,176,18724,644,4.447212943008968
25,100,5,1000,0,CBOW,0.7139874739039666,0.06889352818371608,33,446,19065,13.970075152363309
